REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,531,closed,body,2015-07-09 06:06:29,00:00,,1,,"b""b' There seems to be something wrong with handling PATCH request. According to specification the request parameters could be specified as both query string or payload yet Scalatra only handles the query string ones. By default vast of ajax libraries or other implementations send parameters as request payload. In this case both and are empty but parameters are indeed received and are accessible as url encoded string through  . This is example code: When I send parameter with value print out this both are empty but the I get string. This happens for Scalatra 2.4.0.RC1"," JDK 1.7'""",,,,,
scalatra,531,closed,1,2015-07-09 06:06:29,987.72,,,1,"b'b"" Thanks. I\'ll work on this.""'",,,,,,
scalatra,531,closed,2,2015-07-09 06:06:29,688.27,,1,,"b""b' Any estimate"," when this might be fixed?'""",,,,,
scalatra,531,closed,3,2015-07-09 06:06:29,300.18,,,1,"b'b"" Recently I don\'t have enough time to work on OSS projects. But I\'d love to fix this issue soon.""'",,,,,,
scalatra,531,closed,closed,2015-08-12 09:23:45,197.27,0,3,2,,,,,,,
scalatra,531,closed,reopened,2015-09-23 04:28:20,1144.58,0,3,2,,,,,,,
scalatra,531,closed,closed,2015-10-06 05:31:54,63.57,0,3,2,,,,,,,
scalatra,531,closed,-,-,-,0,3,2,,,,,,,
scalatra,563,closed,opened,2016-03-08 16:12:16,,,,,,,,,,,
scalatra,563,closed,title,2016-03-08 16:12:16,00:00,,1,,"b""b' CorsSupport can be disabled'""",,,,,,
scalatra,563,closed,body,2016-03-08 16:12:16,00:00,,1,,"b'b\' CorsSupport can be disabled with ("""") = false We\\\'re developing a few scalatra apps that we\\\'d like to use so that cors is enabled for development servers and disabled in production. Now it\\\'s easy to disable and enable the cors.\''",,,,,,
scalatra,563,closed,closed,2016-03-08 16:37:15,24.98,0,2,0,,,,,,,
scalatra,563,closed,reopened,2016-03-08 16:37:23,0.13,0,2,0,,,,,,,
scalatra,563,closed,1,2016-03-08 16:12:16,51.95,,1,,"b""b' Travis-CI is having sporaric test failures.'""",,,,,,
scalatra,563,closed,closed,2016-03-08 17:04:13,26.83,0,3,0,,,,,,,
scalatra,563,closed,reopened,2016-03-08 17:04:16,0.05,0,3,0,,,,,,,
scalatra,563,closed,2,2016-03-08 16:12:16,529.63,,1,,"b'b"" LGTM. I just reran the job. I\'ll merge this after a successful build.""'",,,,,,
scalatra,563,closed,closed,2016-03-09 02:03:02,538.77,0,4,0,,,,,,,
scalatra,563,closed,-,-,-,0,4,0,,,,,,,
