REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,5,2010-12-29 23:09:25,104.23,,1,,"b""b' oh"," no prob at all -it was a small modification and I just figured it had been overtaken by events (which still might be the case).'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,6,2010-12-29 23:09:25,894.67,,,1,"b""b' Now that the user page is redesigned"," FINALLY getting around to  this. Hooray!'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,closed,2011-04-26 16:26:49,1001.05,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,-,-,-,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,opened,2011-04-04 16:31:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,title,2011-04-04 16:31:04,00:00,,1,,"b""b' Login should redirect you to originally requested page or Dashboard after successful login'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,body,2011-04-04 16:31:04,00:00,,1,,"b'b""  should redirect you after successful login so that users are not confused by the need to resubmit the form if you reload the page after logging in. Additionally", if you\'re prompted to log in while trying to access a logged-in only page," then you should get redirected back to the page you were trying to get to after a successful login.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,1,2011-04-04 16:31:04,817.37,,1,,"b""b' Just noting for future implementer: Wikipedia entry on [PRG () Pattern]url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,2,2011-04-04 16:31:04,435.67,,,1,"b'b"" @gms8994 could you describe how to recreate the issue"," I\'m always redirected after I login ? Thanks""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,closed,2011-09-30 21:29:45,298.68,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,reopened,2011-10-02 07:56:49,627.07,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,closed,2011-11-03 22:20:46,863.95,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,722,closed,-,-,-,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,opened,2011-05-07 22:21:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,title,2011-05-07 22:21:40,00:00,,1,,"b""b' Error when trying to add a logged-in existing Twitter account'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,body,2011-05-07 22:21:40,00:00,1,,,b'b\' If you have connected a Twitter account to ThinkUp, and you\\\'re logged into Twitter as that account," and you click on the ""Authorize on Twitter"" button again", you will get this error Notice: Undefined variable: oid in / on line 95 Fatal error: Call to a member function get() on a non-object in / on line 95 The auth controller should check to see if the account is already connected to ThinkUp and show an appropriate informational message if so. To resolve the problem, log out of Twitter, then try to connect a new account. Or, log into Twitter as the second account and click on Authorize button.\'',,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,1,2011-05-07 22:21:40,117.8,,,1,"b""b' Send details about your OS", hosting provider, and PHP version to the mailing list," with the exact steps to reproduce and the community will help troubleshoot. Thanks.'""",,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,closed,2011-05-08 00:19:28,117.8,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,2,2011-05-07 22:21:40,659.3,1,,,"b""b' Linux pyxis 2.6.32.8-grsec-2.1.14-modsign-xeon-64 #2 SMP Sat Mar 13 00:42:43 PST 2010 x86_64DreamhostPHP Version 5.2.15 Exactly that: click the link to add another twitter account and get the message I pasted above.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,reopened,2011-05-10 11:19:03,659.58,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,3,2011-05-07 22:21:40,1239.87,,1,,"b""b' Hi", I get the exact same error. I run ThinkUp 0.21.1 on a MacBook Pro, Mac OS X 10.6.7," MAMP with PHP 5.3.2 and MySQL 5.1.44'""",,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,4,2011-05-07 22:21:40,563.18,,,1,"b'b"" Hi therehere\'s how to report a bug like this:url  Thanks for helping the community help you.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,closed,2011-05-22 17:21:49,362.77,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,5,2011-05-07 22:21:40,967.62,,1,,"b""b' I searched the archives. I posted an exact flow here. The application seems broken. Do I really need to join a mailing list and participate in discussions over there? Are you not somewhat overestimating my engagement level? Really"," I would just like for it _not_ to be broken.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,6,2011-05-07 22:21:40,28.0,,,1,b'b\' Hi Gina," I have the same idea about this as Alper. This issue list _is_ part of the community. What would be the point of discussing obvious bugs in a mailing list? What would you like Alper to say there: ""Hello everybody"," I found a bug."" ?  ;-)  cheers", Edgar\'',,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,7,2011-05-07 22:21:40,326.45,1,,,"b'b"" I can\'t reproduce this particular problem", and I\'m the only one who knows about it because of the way GitHub worksI\'m the only one who receives new issue notifications in this tracker. If you want, you can leave the issue open and hope that someone from the community happens to be checking the issue list and can help, but that is highly unlikely. If you let the mailing list know," it is much more likely that you\'ll get help.  Sorry this is the way the project works; but I\'m only one developer.""'",,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,8,2011-05-07 22:21:40,3.35,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,9,2011-05-07 22:21:40,135.52,,,1,b'b\' To recreate:[1]  In your browser, log in to your Twitter account (say @first)[2] Set up new TU instance[3]  connect your TU instance to Twitter for your first user, and set it to spider @first in the usual way.[4] log out of TU (but NOT Twitter) and set up your second TU user.[5] Log in to TU as the second user," and [6] attempt to hook in a Twitter account for this second user (e.g. @second) Voila the ""oid"" error. Workaround: Log out of Twitter (be sure to delete the cookies for  I found the login to be oddly persistent)Repeat step [6] above", and all is good. I can\\\'t say that this happens ONLY in fresh instances of TU.  Guesses:[A] The TU->Twitter account authorization process expects the browser to be logged out of Twitter (probably not) [B] a given Twitter account can only be hooked to a single TU user in a given TU instance.\'',,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,10,2011-05-07 22:21:40,77.87,,,1,b'b\' @citizentools: Thanks, I was able to reproduce the problem. If you have connected a Twitter account to ThinkUp, and you\\\'re logged into Twitter as that account," and you click on the ""Authorize on Twitter"" button again", this error occurs. This is indeed a bug to be fixed, I will update and re-open the issue. In the meantime, the workaround is to simply log out of Twitter before attempting to connect the second account.\'',,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,reopened,2011-05-23 19:02:10,100.35,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,797,closed,11,2011-05-07 22:21:40,1370.72,,1,,"b""b' Ok. So maybe add this as copy on the screen until the bug is fixed?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
