REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,42,2012-06-05 20:21:16,1389.05,1,,,"b'b"" The paint palette just doesn\'t read very well without getting messy quickly. I\'ve added an and to hopefully cover the use cases.""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,closed,2014-08-25 03:48:33,447.28,5,32,7,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,43,2012-06-05 20:21:16,1184.75,,,1,"b""b' Second that: many thanks.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,44,2012-06-05 20:21:16,286.92,,,1,"b'b"" Here\'s a preview of both the icons I added:![screen shot 2014-08-25 at 11 18 11 pm]url ![screen shot 2014-08-25 at 11 18 25 pm]url ""'",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,45,2012-06-05 20:21:16,233.15,1,,,"b""b' @davegandy Sorry but for tracking purposes I have to reopen this one", because paint brush is #397 and eyedropper is #529  Maybe a simpler version like this one: url  ? **edit:** meanwhile," removed from milestone 4.2.0'""",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,reopened,2014-08-26 08:13:22,264.82,6,32,9,,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,46,2012-06-05 20:21:16,822.52,,1,,"b""b' Hi Dave Your simpler version suggestion is fine by me. Douglas Date: Tue", 26 Aug 2014 01:13:26 -0700From: notifications@To: Font-Awesome@CC: @Subject: Re: [Font-Awesome] Icon request: icon-color-palette (icon-theme / icon-style / icon-color / icon-paintbrush) (#244) @davegandy Sorry but for tracking purposes I have to reopen this one," because paint brush is #397 and eyedropper is #529  Maybe a simpler version like this one: url  ? \\xe2\\x80\\x94Reply to this email directly or view it on GitHub.        '""",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,47,2012-06-05 20:21:16,547.07,,,1,"b""b' WOOOOOOOOOWWWWWW!!!!! the new icons are amazing!!!!!! :dancer:  I just saw the recent added on the website! AWESOME!!!!!!! S2 S2 S2 S2'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,48,2012-06-05 20:21:16,0.18,,,1,"b""b' THANKS!!!!!!!'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,49,2012-06-05 20:21:16,261.47,,1,,"b""b' +1fa-paint-brush is not ideal replacement for me'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,50,2012-06-05 20:21:16,1259.1,,1,,"b'b"" +1 Wishing for fa-palette recent icons don\'t cut it fro me.""'",,,,,,,,,,,,,,,,,,,,,,,
